Label,Channel,Frequency_Band,Mean_PSD,Variance_PSD
1,C3,20-22Hz,-63.88751786177805,8.836229887004937
1,C3,22-24Hz,-63.04998562763937,9.752086859322235
1,C3,24-26Hz,-62.978636219408,7.993245638653003
1,C3,26-28Hz,-64.1856323370197,6.091916537652454
1,C3,28-30Hz,-64.75071411515088,6.3742674711587615
1,C3,30-32Hz,-65.40507636347046,4.45645722022428
1,C3,32-34Hz,-67.2613887595228,4.705824433090125
1,C3,34-36Hz,-69.07868109932679,4.230126894991949
1,Cz,4-6Hz,-58.200170148416376,2.4454920480620026
1,Cz,6-8Hz,-59.442581164867,6.021196661858914
1,Cz,8-10Hz,-58.144025288215296,14.124472285983124
1,Cz,10-12Hz,-58.87714087218418,9.054056725161281
1,Cz,12-14Hz,-61.181268909847994,5.405431116281874
1,Cz,14-16Hz,-64.17486719967054,3.8686743573824804
1,Cz,16-18Hz,-64.59773621636153,3.5414352931160336
1,Cz,18-20Hz,-65.2425817452348,4.1260755848324076
1,Cz,20-22Hz,-65.9776527028166,7.044408325377273
1,Cz,22-24Hz,-65.44126130268963,4.910623988590601
1,Cz,24-26Hz,-64.55420324117104,7.910189581557524
1,Cz,26-28Hz,-64.82950780104642,6.774577194004901
1,Cz,28-30Hz,-66.10722586695277,3.9839795553132826
1,Cz,30-32Hz,-66.91482418452584,3.838683707042129
1,Cz,32-34Hz,-68.31010520643152,3.158754426215856
1,Cz,34-36Hz,-70.10268663962407,4.3155456629257065
1,C4,4-6Hz,-60.79501113415365,4.1457896947336
1,C4,6-8Hz,-60.89644133209048,4.2510517999230135
1,C4,8-10Hz,-59.46784463475836,7.822709400679755
1,C4,10-12Hz,-57.38383050426675,8.666137752399935
1,C4,12-14Hz,-58.01301091688588,12.131167301150859
1,C4,14-16Hz,-63.17235100351827,5.965451478488929
1,C4,16-18Hz,-64.57126229427247,3.1383912883590526
1,C4,18-20Hz,-64.25681905280933,3.6922234953570268
1,C4,20-22Hz,-64.22428536962464,5.492369804951667
1,C4,22-24Hz,-64.2601926597995,9.058040448303757
1,C4,24-26Hz,-63.18632778449351,6.583289698225647
1,C4,26-28Hz,-65.0973599684636,6.35678437037315
1,C4,28-30Hz,-66.5510758932051,6.206558031178033
1,C4,30-32Hz,-67.71282166641156,4.831935541982263
1,C4,32-34Hz,-68.65257172343416,6.020859497289867
1,C4,34-36Hz,-69.07285627272627,5.9824816230543565
1,CP3,4-6Hz,-54.66317465496032,8.819549151007832
1,CP3,6-8Hz,-54.20803247118058,9.690021771250562
1,CP3,8-10Hz,-51.01795997622706,19.87659722723558
1,CP3,10-12Hz,-52.8070587862777,15.951325019137593
1,CP3,12-14Hz,-58.528286925268766,3.7383719203874204
1,CP3,14-16Hz,-60.739970805611584,3.0316274300693595
1,CP3,16-18Hz,-60.84124639961923,4.62483189219779
1,CP3,18-20Hz,-61.02329343081687,3.3912490790960343
1,CP3,20-22Hz,-61.90023897247891,5.571935838645175
1,CP3,22-24Hz,-62.91927687555607,4.785203901364235
1,CP3,24-26Hz,-63.69185319633021,2.8621752867618135
1,CP3,26-28Hz,-65.38512686170549,3.4010191296440255
1,CP3,28-30Hz,-66.97352947431797,2.629387121764966
1,CP3,30-32Hz,-67.7832243402981,3.01946315218164
1,CP3,32-34Hz,-68.81105915265636,4.528786821566259
1,CP3,34-36Hz,-69.99291095698761,3.4471599755969353
1,CPz,4-6Hz,-57.688310679720665,2.1107105876347276
1,CPz,6-8Hz,-57.16015219561641,7.810604111550906
1,CPz,8-10Hz,-52.99764759801685,17.695899647905772
1,CPz,10-12Hz,-54.76719453761571,14.15874150905717
1,CPz,12-14Hz,-60.752828189829856,3.5398866068105135
1,CPz,14-16Hz,-63.48952695708541,5.918711042083837
1,CPz,16-18Hz,-62.877987866884524,6.273768427150218
1,CPz,18-20Hz,-62.94915999059706,7.827233516309383
1,CPz,20-22Hz,-64.4251834800749,4.564022427016093
1,CPz,22-24Hz,-66.22619183308738,3.0277617644297874
1,CPz,24-26Hz,-66.77716851365003,4.783141397977988
1,CPz,26-28Hz,-68.16170617142043,3.6739200978648623
1,CPz,28-30Hz,-68.71046031139147,2.702031141084772
1,CPz,30-32Hz,-69.830018653777,3.583165832133638
1,CPz,32-34Hz,-71.17252449180984,3.8859804821213815
1,CPz,34-36Hz,-71.44591176449647,2.612591403478732
1,CP4,4-6Hz,-56.346232660287654,5.9251663951459
1,CP4,6-8Hz,-54.64042412574328,7.097167561663967
1,CP4,8-10Hz,-52.17047739817101,25.644981127356616
1,CP4,10-12Hz,-54.09957777440211,22.05273413345657
1,CP4,12-14Hz,-59.844236227029846,4.4671392227111015
1,CP4,14-16Hz,-62.24819040092852,2.4758425728572324
1,CP4,16-18Hz,-61.65184141355474,5.849663983923636
1,CP4,18-20Hz,-62.2527021853795,9.213199680890252
1,CP4,20-22Hz,-63.38366543772092,4.982193149416671
1,CP4,22-24Hz,-65.56891706459886,4.964823882263685
1,CP4,24-26Hz,-65.36376531865427,2.8165280921365174
1,CP4,26-28Hz,-65.89110484942987,2.8016733207253215
1,CP4,28-30Hz,-68.02268643168532,3.0031923611527755
1,CP4,30-32Hz,-69.0586326828409,2.883584048300636
1,CP4,32-34Hz,-69.94472083919396,3.454560897690491
1,CP4,34-36Hz,-71.49390813546792,3.5895373708315765
2,FC3,4-6Hz,-55.57786222212804,4.7503265388179745
2,FC3,6-8Hz,-56.179831262870245,2.3024377517918895
2,FC3,8-10Hz,-54.97883575243346,6.82092219850393
2,FC3,10-12Hz,-55.879315590456095,9.017699411133131
2,FC3,12-14Hz,-59.09782005307705,9.400401920192854
2,FC3,14-16Hz,-60.68677705261073,8.867139894042413
2,FC3,16-18Hz,-60.34647032461963,7.936590614703367
2,FC3,18-20Hz,-60.512993710657476,11.254372407342718
2,FC3,20-22Hz,-60.559332478665695,9.148091909341003
2,FC3,22-24Hz,-60.74490648342375,14.586911216401909
2,FC3,24-26Hz,-60.425754377797425,14.160108252225204
2,FC3,26-28Hz,-61.01560253046536,12.7288916406441
2,FC3,28-30Hz,-62.382303665675,7.490817952666878
2,FC3,30-32Hz,-63.47398262290733,23.593518381577034
2,FC3,32-34Hz,-64.72240800985736,22.69147158105518
2,FC3,34-36Hz,-65.83513439061508,16.626474845609042
2,FCz,4-6Hz,-55.784763720462614,4.284510447998144
2,FCz,6-8Hz,-56.53057998251691,5.216339768908681
2,FCz,8-10Hz,-56.71033460633061,6.43478494961865
2,FCz,10-12Hz,-58.88835842298223,4.453863860635731
2,FCz,12-14Hz,-60.63655131257968,2.7527889971698807
2,FCz,14-16Hz,-62.323482713231115,6.191352189070484
2,FCz,16-18Hz,-63.08743788025199,5.880511471503934
2,FCz,18-20Hz,-63.0173550501332,6.644418560061687
2,FCz,20-22Hz,-63.508750019216514,8.005406378725086
2,FCz,22-24Hz,-65.04964125006555,5.815115756299438
2,FCz,24-26Hz,-65.08514965428056,6.944359738692645
2,FCz,26-28Hz,-65.29205262672185,5.412326543640257
2,FCz,28-30Hz,-65.97801903002174,6.494718535722945
2,FCz,30-32Hz,-66.31110224173513,13.41431049373976
2,FCz,32-34Hz,-67.84132712507308,14.41522512466656
2,FCz,34-36Hz,-69.22881683277389,15.06297510844949
2,FC4,4-6Hz,-55.44461444235454,3.0028451182487523
2,FC4,6-8Hz,-55.474610301471515,6.418443508735933
2,FC4,8-10Hz,-53.54460482391007,7.9577513852619575
2,FC4,10-12Hz,-54.3826074229455,8.8421848744787
2,FC4,12-14Hz,-55.710180896741235,10.119555346965493
2,FC4,14-16Hz,-58.33747854800625,14.302764936914677
2,FC4,16-18Hz,-59.24270126584546,14.98514188386106
2,FC4,18-20Hz,-58.59722887567879,23.5976957221522
2,FC4,20-22Hz,-58.841828068477255,23.669523067245354
2,FC4,22-24Hz,-58.9296678234697,18.74877210570539
2,FC4,24-26Hz,-58.30959555514234,17.859049408171234
2,FC4,26-28Hz,-58.29926170342339,28.228492920704603
2,FC4,28-30Hz,-59.80052085303226,27.418517079335558
2,FC4,30-32Hz,-60.0992018131863,38.99903439195862
2,FC4,32-34Hz,-61.50038078526259,30.00092154125686
2,FC4,34-36Hz,-62.65618722456713,22.499709230674945
2,C3,4-6Hz,-59.19027328827234,3.370724623576224
2,C3,6-8Hz,-60.24407543977202,4.069528179076518
2,C3,8-10Hz,-59.769074613391304,6.685943142730334
2,C3,10-12Hz,-57.87503845260844,11.258698876698531
2,C3,12-14Hz,-59.39862240791048,9.262683481815913
2,C3,14-16Hz,-63.216876307422275,10.790507504683518
